Snapshot Number,Redshift,Stellar Mass [Msun],Star Formation Rate [Msun/yr],GalaxyID,GALEX_FUV,GALEX_NUV,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z,TwoMASS_J,TwoMASS_H,TwoMASS_Ks,UKIDSS_Z,UKIDSS_Y,UKIDSS_J,UKIDSS_H,UKIDSS_K,Johnson_U,Johnson_B,Johnson_V,Johnson_R,Johnson_I,Johnson_J,Johnson_M,WISE_W1,WISE_W2,WISE_W3,WISE_W4,IRAS_12,IRAS_25,IRAS_60,IRAS_100,IRAC_I1,IRAC_I2,IRAC_I3,IRAC_I4,MIPS_24,MIPS_70,MIPS_160,PACS_70,PACS_100,PACS_160,SPIRE_250,SPIRE_350,SPIRE_500,SCUBA2_450,SCUBA2_850,GALEX_FUV_f,GALEX_NUV_f,SDSS_u_f,SDSS_g_f,SDSS_r_f,SDSS_i_f,SDSS_z_f,TwoMASS_J_f,TwoMASS_H_f,TwoMASS_Ks_f,UKIDSS_Z_f,UKIDSS_Y_f,UKIDSS_J_f,UKIDSS_H_f,UKIDSS_K_f,Johnson_U_f,Johnson_B_f,Johnson_V_f,Johnson_R_f,Johnson_I_f,Johnson_J_f,GALEX_FUV_e,GALEX_NUV_e,SDSS_u_e,SDSS_g_e,SDSS_r_e,SDSS_i_e,SDSS_z_e,TwoMASS_J_e,TwoMASS_H_e,TwoMASS_Ks_e,UKIDSS_Z_e,UKIDSS_Y_e,UKIDSS_J_e,UKIDSS_H_e,UKIDSS_K_e,Johnson_U_e,Johnson_B_e,Johnson_V_e,Johnson_R_e,Johnson_I_e,Johnson_J_e,ALMA_6,ALMA_7,ALMA_8,ALMA_9,ALMA_10
28,2.220446E-16,1.12275145E11,2.4032543,14021165,-17.311832,-17.643631,-19.727829,-21.269747,-22.008438,-22.340311,-22.67406,-23.056335,-23.324284,-23.1534,-22.650988,-22.92942,-23.064087,-23.312786,-23.116201,-19.663906,-20.986637,-21.706345,-22.189514,-22.623474,-23.04604,-22.11702,-22.557825,-22.179306,-22.490173,-23.605053,-22.399782,-23.537527,-26.11287,-27.114922,-22.531456,-22.217201,-22.281796,-22.694271,-23.636324,-26.60291,-27.078075,-26.574928,-27.130768,-27.02899,-26.189493,-25.292873,-24.170229,-24.51232,-22.271866,-17.42295,-17.753437,-19.7828,-21.314383,-22.046177,-22.37306,-22.703945,-23.080807,-23.343729,-23.168133,-22.681164,-22.957264,-23.08808,-23.332417,-23.130657,-19.71939,-21.03337,-21.746403,-22.224295,-22.653788,-23.070543,-17.19923,-17.561167,-19.665476,-21.210863,-21.943989,-22.272646,-22.600513,-22.969627,-23.236889,-23.070906,-22.578424,-22.850636,-22.976915,-23.225386,-23.034384,-19.6015,-20.927027,-21.647455,-22.122438,-22.550566,-22.95983,-21.251358,-21.99609,-23.09324,-24.473728,-25.29139
28,2.220446E-16,1.16225495E10,0.7006077,10372951,-17.559153,-17.639545,-18.410593,-19.460873,-19.991022,-20.21706,-20.490923,-20.773869,-20.996403,-20.80102,-20.472675,-20.687078,-20.779097,-20.987513,-20.763792,-18.359077,-19.262024,-19.734451,-20.11302,-20.44551,-20.767395,-19.732843,-20.200338,-19.789669,-20.352457,-21.423847,-20.280485,-21.360485,-23.277136,-24.438658,-20.162338,-19.83081,-19.957611,-20.534988,-21.454464,-23.738646,-24.814411,-23.69818,-24.450094,-24.750204,-24.343798,-23.70741,-22.793423,-23.09373,-21.11653,-17.700329,-17.78828,-18.51037,-19.549868,-20.073696,-20.29202,-20.55709,-20.82514,-21.032051,-20.824682,-20.539894,-20.747412,-20.83002,-21.02344,-20.786873,-18.459408,-19.352463,-19.819992,-20.191374,-20.512619,-20.818632,-16.885687,-16.948013,-17.901447,-19.021666,-19.622196,-19.908894,-20.232536,-20.603155,-20.890553,-20.735878,-20.210627,-20.465609,-20.610806,-20.88015,-20.7005,-17.847271,-18.807941,-19.33542,-19.779812,-20.181103,-20.596884,-20.154343,-20.85717,-21.859947,-23.060299,-23.712666
28,2.220446E-16,2.28880568E10,1.0035027,8340630,-17.547174,-17.6123,-18.57918,-19.74996,-20.382792,-20.666882,-20.9841,-21.343664,-21.610298,-21.4414,-20.96203,-21.223742,-21.351643,-21.599358,-21.404951,-18.524504,-19.523764,-20.091177,-20.53819,-20.935358,-21.334463,-20.435759,-20.868477,-20.486036,-21.047773,-22.132513,-20.971058,-22.064575,-24.099115,-25.285355,-20.838873,-20.524094,-20.665897,-21.230968,-22.161337,-24.586798,-25.5916,-24.546303,-25.297548,-25.529688,-25.02465,-24.325022,-23.360014,-23.670815,-21.631332,-17.994688,-18.074257,-18.892977,-20.016996,-20.618635,-20.872454,-21.165314,-21.480036,-21.703127,-21.501877,-21.144667,-21.388214,-21.486357,-21.693453,-21.463776,-18.840096,-19.798622,-20.337255,-20.756598,-21.119831,-21.470167,-17.391253,-17.454004,-18.440887,-19.626375,-20.275646,-20.574783,-20.904215,-21.286419,-21.570135,-21.414305,-20.881332,-21.15333,-21.294817,-21.558834,-21.378456,-18.38589,-19.397442,-19.977566,-20.439945,-20.853819,-21.276752,-20.646677,-21.368465,-22.392643,-23.636068,-24.329208
28,2.220446E-16,1.70439629E10,0.6603476,8355287,-17.051605,-17.131887,-18.248613,-19.46701,-20.117952,-20.413918,-20.727999,-21.063944,-21.314344,-21.125902,-20.707376,-20.9489,-21.07093,-21.305145,-21.087479,-18.193012,-19.231834,-19.82364,-20.279919,-20.67762,-21.05812,-20.027967,-20.521475,-20.093416,-20.555721,-21.618372,-20.488993,-21.551369,-23.43776,-24.593046,-20.480145,-20.135342,-20.223642,-20.757324,-21.646694,-23.895088,-24.980368,-23.855,-24.604115,-24.913092,-24.525475,-23.907549,-23.009893,-23.306934,-21.351295,-17.687923,-17.799921,-18.689978,-19.821468,-20.402882,-20.648623,-20.919071,-21.188305,-21.390324,-21.171999,-20.901411,-21.109777,-21.193253,-21.382357,-21.132244,-18.637348,-19.603735,-20.133524,-20.535444,-20.87479,-21.18293,-16.80081,-16.902868,-18.121233,-19.37058,-20.030552,-20.340805,-20.664383,-21.019804,-21.285227,-21.106403,-20.642931,-20.892899,-21.027235,-21.275515,-21.068598,-18.06453,-19.131712,-19.735367,-20.200644,-20.61299,-21.013813,-20.39877,-21.093895,-22.088224,-23.273468,-23.913408
28,2.220446E-16,1.3903956E10,0.69920915,10438463,-17.108547,-17.220312,-18.277636,-19.456226,-20.062801,-20.332676,-20.631794,-20.962784,-21.225256,-21.066244,-20.612352,-20.847511,-20.97031,-21.215473,-21.030344,-18.222841,-19.23128,-19.785627,-20.209667,-20.58296,-20.956459,-20.106628,-20.515564,-20.146841,-20.806664,-21.912273,-20.727951,-21.838564,-23.88855,-25.018953,-20.48441,-20.182327,-20.375694,-20.98416,-21.937796,-24.363125,-25.300392,-24.326057,-25.031202,-25.242197,-24.752876,-24.076683,-23.134392,-23.439644,-21.430454,-17.421925,-17.545048,-18.499304,-19.647558,-20.240854,-20.492401,-20.78188,-21.086937,-21.31285,-21.127274,-20.763025,-20.990355,-21.093021,-21.30392,-21.08992,-18.445658,-19.42925,-19.96486,-20.377409,-20.734673,-21.080376,-16.990768,-17.10288,-18.184483,-19.39075,-20.020647,-20.309797,-20.628727,-20.982431,-21.2472,-21.085472,-20.607798,-20.85752,-20.989826,-21.237219,-21.049416,-18.129282,-19.16077,-19.735329,-20.178417,-20.57732,-20.975601,-20.475378,-21.16995,-22.18368,-23.405745,-24.081333
28,2.220446E-16,1.33098189E10,2.861441,9337180,-16.244555,-16.440487,-17.933554,-19.229597,-19.893518,-20.195702,-20.527338,-20.926914,-21.253424,-21.205624,-20.504879,-20.765818,-20.93598,-21.24212,-21.181053,-17.874193,-18.989113,-19.594494,-20.060076,-20.475096,-20.921257,-20.9746,-20.975891,-20.88591,-22.206383,-23.491491,-22.062557,-23.4331,-26.001339,-26.925919,-20.980875,-20.884663,-21.58506,-22.371153,-23.533697,-26.46427,-26.840008,-26.439503,-26.942087,-26.78951,-25.923555,-25.015015,-23.887127,-24.22969,-21.991194,-16.379679,-16.596224,-18.10571,-19.378586,-20.015787,-20.30066,-20.61963,-21.00314,-21.322643,-21.272373,-20.597015,-20.852444,-21.012432,-21.31102,-21.24689,-18.04684,-19.147118,-19.722034,-20.172457,-20.569263,-20.99838,-16.022831,-16.234013,-17.777205,-19.098618,-19.769659,-20.086182,-20.421835,-20.825865,-21.161793,-21.11996,-20.39935,-20.661385,-20.834988,-21.150389,-21.095667,-17.716877,-18.853235,-19.47156,-19.944023,-20.368528,-20.82096,-20.961351,-21.71563,-22.809938,-24.191029,-25.013203
28,2.220446E-16,2.74961367E10,1.4436954,9389473,-18.345938,-18.46464,-19.32362,-20.43227,-20.98344,-21.21232,-21.482077,-21.749681,-21.950022,-21.737297,-21.46542,-21.676798,-21.754765,-21.941166,-21.698893,-19.272081,-20.225046,-20.724852,-21.105839,-21.437263,-21.74281,-20.603636,-21.103577,-20.67072,-21.120008,-22.134953,-21.069944,-22.05429,-23.638445,-24.884153,-21.06437,-20.713768,-20.794392,-21.33764,-22.154337,-24.066757,-25.520826,-24.019407,-24.890055,-25.456059,-25.22618,-24.648731,-23.76035,-24.057137,-22.092522,-18.355618,-18.475277,-19.329903,-20.43806,-20.988289,-21.216228,-21.485483,-21.752098,-21.951569,-21.738134,-21.468815,-21.679628,-21.757107,-21.942728,-21.699718,-19.278458,-20.231224,-20.729893,-21.11016,-21.440712,-21.74521,-17.411152,-17.497856,-18.626413,-19.861284,-20.529266,-20.84395,-21.184425,-21.56342,-21.838072,-21.670284,-21.162586,-21.428425,-21.571684,-21.827383,-21.633972,-18.571405,-19.6262,-20.226555,-20.701464,-21.131264,-21.555044,-21.138906,-21.834005,-22.835686,-24.024218,-24.655455
28,2.220446E-16,1.05720361E10,1.3810166,2885113,-18.145042,-18.171715,-18.804585,-19.65516,-20.092703,-20.244045,-20.493637,-20.746532,-20.968985,-20.801897,-20.477375,-20.661236,-20.75368,-20.959787,-20.767849,-18.755007,-19.489851,-19.837208,-20.179594,-20.451406,-20.741976,-20.015045,-20.31185,-19.999159,-21.212515,-22.36654,-21.119925,-22.307417,-24.115133,-25.138838,-20.28632,-20.026388,-20.494318,-21.344425,-22.399828,-24.51733,-25.451626,-24.482096,-25.151564,-25.385946,-24.90139,-24.196833,-23.220892,-23.534023,-21.4796,-18.541567,-18.587479,-19.113968,-19.916712,-20.318737,-20.444881,-20.669624,-20.877407,-21.05532,-20.858088,-20.654984,-20.820265,-20.882751,-21.04716,-20.822472,-19.066322,-19.76122,-20.076984,-20.391417,-20.630987,-20.87303,-17.860859,-17.88504,-18.597618,-19.489433,-19.960924,-20.135414,-20.402613,-20.68358,-20.927464,-20.775074,-20.385464,-20.58136,-20.691391,-20.917904,-20.741652,-18.546583,-19.315254,-19.692965,-20.060316,-20.358149,-20.67887,-20.471243,-21.214806,-22.24523,-23.498867,-24.20107
28,2.220446E-16,1.46236027E10,0.47569606,8963514,-16.044886,-16.452972,-18.199677,-19.563198,-20.17928,-20.45486,-20.723593,-20.980146,-21.189857,-20.972246,-20.70762,-20.904451,-20.98542,-21.181547,-20.93374,-18.138842,-19.320385,-19.919786,-20.326212,-20.678308,-20.9743,-19.901964,-20.371483,-19.949041,-20.55515,-21.6847,-20.473093,-21.604233,-23.780119,-24.732544,-20.327747,-19.98643,-20.173946,-20.76704,-21.706749,-24.227583,-24.75087,-24.20014,-24.747887,-24.693317,-23.937435,-23.103806,-22.043665,-22.371552,-20.23065,-16.21512,-16.52366,-18.160902,-19.502356,-20.132097,-20.414421,-20.692856,-20.963165,-21.181673,-20.96947,-20.675701,-20.879564,-20.968927,-21.173244,-20.931215,-18.100723,-19.258026,-19.863665,-20.283318,-20.646393,-20.957376,-16.020853,-16.41451,-18.156776,-19.52419,-20.14734,-20.42861,-20.699726,-20.962442,-21.177929,-20.964462,-20.6832,-20.883608,-20.967974,-21.169552,-20.92605,-18.095955,-19.278938,-19.886189,-20.297304,-20.654444,-20.956783,-19.221695,-19.962305,-21.01915,-22.334766,-23.104424
28,2.220446E-16,3.03044014E10,0.41466215,8967473,-17.496267,-17.713224,-19.04247,-20.376007,-20.981504,-21.252743,-21.527065,-21.81165,-22.013435,-21.779026,-21.508398,-21.73461,-21.816315,-22.004248,-21.738049,-18.983747,-20.13499,-20.725647,-21.125978,-21.483097,-21.8038,-20.41668,-21.06974,-20.548859,-19.809168,-20.465313,-19.808765,-20.408136,-21.97244,-23.091293,-21.02111,-20.606085,-20.318163,-20.231,-20.49144,-22.34789,-23.783218,-22.305708,-23.09783,-23.731537,-23.637703,-23.1407,-22.308374,-22.594164,-20.689457,-17.496328,-17.713303,-19.043522,-20.377254,-20.982561,-21.25366,-21.527874,-21.81212,-22.013704,-21.779188,-21.509214,-21.735268,-21.816778,-22.004524,-21.738205,-18.984793,-20.13621,-20.72676,-21.126968,-21.483894,-21.804274,-17.22786,-17.416761,-18.845581,-20.222029,-20.868366,-21.16662,-21.462034,-21.774923,-21.993057,-21.767292,-21.44194,-21.683277,-21.780338,-21.983482,-21.726702,-18.785723,-19.971247,-20.596203,-21.028986,-21.41536,-21.766691,-19.766193,-20.434795,-21.416565,-22.562582,-23.14907
